number	username	url	branch	created_at	updated_at	pushed_at
48	leehandsub	https://github.com/leehandsub/kotlin-menu.git	leehandsub	2022-12-17 04:00:55	2022-12-17 04:00:11	2022-12-17 08:50:39
47	2taezeat	https://github.com/2taezeat/kotlin-menu.git	2taezeat	2022-12-17 04:00:43	2022-12-17 04:00:11	2022-12-22 05:31:51
46	onseok	https://github.com/onseok/kotlin-menu.git	onseok	2022-12-17 04:00:40	2022-12-17 04:00:11	2022-12-17 08:59:11
45	donghyun81	https://github.com/donghyun81/kotlin-menu.git	donghyun81	2022-12-17 04:00:41	2022-12-17 08:37:50	2022-12-17 08:44:49
44	briandr97	https://github.com/briandr97/kotlin-menu.git	briandr97	2022-12-17 04:00:30	2022-12-17 04:00:11	2022-12-18 19:50:35
43	2chang5	https://github.com/2chang5/kotlin-menu.git	2chang5	2022-12-17 04:01:00	2022-12-17 04:00:11	2022-12-17 09:00:47
42	ppeper	https://github.com/ppeper/kotlin-menu.git	ppeper	2022-12-17 08:17:47	2022-12-17 06:10:31	2022-12-17 08:40:32
41	no1msh	https://github.com/no1msh/kotlin-menu.git	no1msh	2022-12-17 04:00:23	2022-12-17 04:00:11	2022-12-17 08:52:19
40	s9hn	https://github.com/s9hn/kotlin-menu.git	s9hn	2022-12-17 04:02:03	2022-12-17 04:00:11	2022-12-17 08:39:04
39	dev-worthwhile	https://github.com/dev-worthwhile/kotlin-menu.git	dev-worthwhile	2022-12-17 04:01:24	2022-12-17 04:00:11	2022-12-17 08:34:19
38	chws0508	https://github.com/chws0508/kotlin-menu.git	chws0508	2022-12-17 04:00:28	2022-12-17 04:00:11	2022-12-17 08:52:22
37	lgy159	https://github.com/lgy159/kotlin-menu.git	lgy159	2022-12-17 04:00:24	2022-12-17 04:00:11	2022-12-17 08:37:11
36	SeongHoonC	https://github.com/SeongHoonC/kotlin-menu.git	SeongHoonC	2022-12-17 04:00:53	2022-12-17 04:00:11	2022-12-17 08:59:12
35	PParkcode	https://github.com/PParkcode/kotlin-menu.git	PParkcode	2022-12-17 04:00:35	2022-12-17 04:00:11	2022-12-17 08:57:48
34	dltkd1395	https://github.com/dltkd1395/kotlin-menu.git	dltkd1395	2022-12-17 04:00:19	2022-12-17 09:01:32	2022-12-17 08:58:49
33	tmdgh1592	https://github.com/tmdgh1592/kotlin-menu.git	tmdgh1592	2022-12-17 04:00:23	2022-12-17 04:00:11	2022-12-17 09:33:39
32	DYGames	https://github.com/DYGames/kotlin-menu.git	dygames	2022-12-17 04:00:19	2022-12-17 04:00:11	2022-12-17 08:40:34
31	Lee-Sunho	https://github.com/Lee-Sunho/kotlin-menu.git	Lee-Sunho	2022-12-17 04:00:23	2022-12-17 04:00:11	2022-12-17 08:51:44
30	dlgocks1	https://github.com/dlgocks1/kotlin-menu.git	dlgocks1	2022-12-17 04:00:19	2022-12-17 04:00:11	2022-12-17 08:49:04
29	qwe910205	https://github.com/qwe910205/kotlin-menu.git	qwe910205	2022-12-17 04:00:48	2022-12-17 08:34:17	2022-12-17 08:58:08
28	EmilyCh0	https://github.com/EmilyCh0/kotlin-menu.git	EmilyCh0	2022-12-17 04:00:51	2022-12-17 04:00:11	2022-12-17 08:57:01
27	inseonyun	https://github.com/inseonyun/kotlin-menu.git	inseonyun	2022-12-17 04:00:27	2022-12-17 04:00:11	2022-12-17 08:38:36
26	pingu244	https://github.com/pingu244/kotlin-menu.git	pingu244	2022-12-17 04:00:22	2022-12-17 04:00:11	2022-12-17 08:42:00
25	drdd1120	https://github.com/drdd1120/kotlin-menu.git	drdd1120	2022-12-17 04:00:19	2022-12-17 04:00:11	2022-12-17 08:31:20
24	otter66	https://github.com/otter66/kotlin-menu.git	otter66	2022-12-17 04:00:17	2022-12-17 04:00:11	2022-12-17 08:56:58
23	hyemdooly	https://github.com/hyemdooly/kotlin-menu.git	hyemdooly	2022-12-17 04:00:23	2022-12-17 04:00:11	2022-12-17 08:30:53
22	SungHunn	https://github.com/SungHunn/kotlin-menu.git	SungHunn	2022-12-17 04:01:45	2022-12-17 04:00:11	2022-12-17 08:59:44
21	Choisehyeon	https://github.com/Choisehyeon/kotlin-menu.git	Choisehyeon	2022-12-17 04:00:21	2022-12-17 04:00:11	2022-12-17 08:58:23
20	YiBeomSeok	https://github.com/YiBeomSeok/kotlin-menu.git	yibeomseok	2022-12-17 04:00:35	2022-12-17 09:55:22	2022-12-17 09:55:19
19	ze-zeh	https://github.com/ze-zeh/kotlin-menu.git	ze-zeh	2022-12-17 04:00:18	2022-12-17 04:00:11	2022-12-17 08:56:32
18	pogihae	https://github.com/pogihae/kotlin-menu.git	pogihae	2022-12-17 04:00:42	2022-12-17 04:00:11	2022-12-17 08:57:35
17	re4rk	https://github.com/re4rk/kotlin-menu.git	re4rk	2022-12-17 04:00:17	2022-12-17 04:00:11	2022-12-17 08:53:53
16	junjange	https://github.com/junjange/kotlin-menu.git	junjange	2022-12-17 04:00:54	2022-12-17 04:00:11	2022-12-17 08:56:43
15	rhthrhrl0	https://github.com/rhthrhrl0/kotlin-menu.git	rhthrhrl0	2022-12-17 04:00:18	2022-12-17 04:00:11	2022-12-17 08:41:37
14	ippnsj	https://github.com/ippnsj/kotlin-menu.git	ippnsj	2022-12-17 04:00:29	2022-12-17 04:00:11	2022-12-17 08:58:29
13	whk06061	https://github.com/whk06061/kotlin-menu.git	whk06061	2022-12-17 04:00:17	2022-12-17 04:00:11	2022-12-17 08:51:19
12	shimson7	https://github.com/shimson7/kotlin-menu.git	shimson7	2022-12-17 04:00:23	2022-12-17 07:31:16	2022-12-17 08:24:39
11	boogi-woogi	https://github.com/boogi-woogi/kotlin-menu.git	boogi-woogi	2022-12-17 04:00:25	2022-12-17 04:00:11	2022-12-17 08:55:14
10	sujin9	https://github.com/sujin9/kotlin-menu.git	sujin9	2022-12-17 04:01:21	2022-12-17 04:00:11	2022-12-17 08:59:08
9	hyunji1203	https://github.com/hyunji1203/kotlin-menu.git	hyunji1203	2022-12-17 04:00:17	2022-12-17 04:00:11	2022-12-17 08:45:11
8	healthykim	https://github.com/healthykim/kotlin-menu.git	healthykim	2022-12-17 04:00:31	2022-12-17 04:00:11	2022-12-17 08:55:38
7	krrong	https://github.com/krrong/kotlin-menu.git	krrong	2022-12-17 04:00:26	2022-12-17 04:00:11	2022-12-17 08:45:09
6	jjiiin	https://github.com/jjiiin/kotlin-menu.git	jjiiin	2022-12-17 04:00:18	2022-12-17 04:00:11	2022-12-17 08:30:16
5	rhkrwngud445	https://github.com/rhkrwngud445/kotlin-menu.git	rhkrwngud445	2022-12-17 04:00:17	2022-12-17 04:00:11	2022-12-17 08:29:55
4	lee989898	https://github.com/lee989898/kotlin-menu.git	lee989898	2022-12-17 04:00:26	2022-12-17 04:00:11	2022-12-17 08:59:29
3	parkdohuni	https://github.com/parkdohuni/kotlin-menu.git	parkdohuni	2022-12-17 04:00:30	2022-12-17 04:00:11	2022-12-17 07:54:27
1	RightHennessy	https://github.com/RightHennessy/kotlin-menu.git	RightHennessy	2022-12-17 04:00:23	2022-12-17 04:00:11	2022-12-17 08:44:22
